ccn,rpt_rec_num,fy_end,total_salaries,total_paid_hours,total_avg_hourly_wage,contract_labor_dollars,contract_labor_hours,contract_labor_hourly_rate,source_confidence
250034,799983,09/30/2024,68238668.0,1924172.84,35.24,486421.0,4740.12,102.62,0.92
190065,799237,09/30/2024,153967833.0,4699930.47,32.76,3507752.0,44882.6,78.15,0.92
250009,800863,09/30/2024,16288398.0,507640.56,32.09,6402210.0,164604.97,38.89,0.92
340024,798318,09/30/2024,35801067.0,884470.39,40.48,626516.0,6769.25,92.55,0.92
250040,800702,09/30/2024,179592294.0,4620850.0,38.87,16335461.0,333810.0,48.94,0.92
113036,828544,09/30/2024,9237590.0,259225.56,35.64,28061.0,547.47,51.26,0.92
250042,799387,09/30/2024,9646959.0,294107.91,38.16,422859.0,4586.25,92.2,0.92
250061,799703,09/30/2024,12540636.0,497710.93,25.2,3258667.0,54530.1,59.76,0.92
420105,798866,09/30/2024,103944913.0,2465675.66,42.03,1595777.0,19270.05,82.81,0.92
250067,799141,09/30/2024,21645612.0,571966.38,37.32,211012.0,3256.75,64.79,0.92
250097,799257,09/30/2024,68916781.0,1697789.68,40.59,1039633.0,12896.75,80.61,0.92
420086,798338,09/30/2024,79062673.0,2004967.43,40.3,6745632.0,83619.0,80.67,0.92
250025,799386,09/30/2024,21798638.0,606397.26,35.95,772058.0,14664.64,52.65,0.92
250100,798701,09/30/2024,69988095.0,2125348.77,32.85,755889.0,5863.12,128.92,0.92
250102,799142,09/30/2024,180960181.0,4610087.52,39.25,4035467.0,42738.0,94.42,0.92
250104,799258,09/30/2024,89252029.0,2386771.3,37.39,15159269.0,384327.0,39.44,0.92
190111,800219,09/30/2024,405564912.0,10008992.35,40.76,14011204.0,201847.0,69.41,0.92
250123,799538,09/30/2024,61497804.0,1435102.01,42.85,2716023.0,35669.0,76.15,0.92
420078,798601,09/30/2024,394146440.0,10320532.83,39.86,27134607.0,321912.0,84.29,0.92
420073,820897,09/30/2024,713311185.0,13893851.95,51.34,1638068.0,13717.87,119.41,0.92
250117,799259,09/30/2024,19179021.0,531306.51,36.07,798826.0,11877.02,67.26,0.92
100087,829646,09/30/2024,420835558.0,10745114.45,39.17,12458319.0,149487.0,83.34,0.92
250095,798819,09/30/2024,11025553.0,350579.06,31.45,2304465.0,36030.46,63.96,0.92
190044,798436,09/30/2024,17485034.0,562849.39,35.23,94664.0,1336.1,70.85,0.92
250072,830194,09/30/2024,28978284.0,799240.0,36.26,283737.0,3764.0,75.38,0.92
420103,808647,09/30/2024,36506037.0,1012751.0,36.21,1117264.0,14236.0,78.48,0.92
250077,799986,09/30/2024,24481812.0,826424.88,29.62,9500.0,156.0,60.9,0.92
250078,823049,09/30/2024,247038241.0,7106812.99,32.72,16724362.0,236005.82,70.86,0.92
420102,798490,09/30/2024,36771681.0,944030.27,40.1,338141.0,3752.0,90.12,0.92
040156,799319,09/30/2024,7973164.0,211536.65,37.69,2761.0,11.0,251.0,0.92
250082,800781,09/30/2024,47730299.0,1306275.49,36.54,2867224.0,32867.87,87.23,0.92
250084,800598,09/30/2024,21826634.0,621882.0,35.1,1393081.0,20725.0,67.22,0.92
250085,798988,09/30/2024,7313799.0,242564.47,30.15,268031.0,3974.02,67.45,0.92
420098,798602,09/30/2024,45802131.0,1290317.95,37.83,3532645.0,45190.95,78.17,0.92
340028,798460,09/30/2024,430009120.0,9204971.0,46.71,63885759.0,489128.0,130.61,0.92
250081,831267,09/30/2024,9746676.0,258576.52,37.69,310476.0,6107.76,50.83,0.92
420049,795821,09/30/2024,139867352.0,3295313.0,42.44,4039542.0,54366.99,74.3,0.92
050234,831037,09/30/2024,75069663.0,1372289.58,55.08,137483.0,1682.87,81.7,0.92
070033,800079,09/30/2024,231791103.0,4901550.25,47.29,5785473.0,55844.89,103.6,0.92
070034,826149,09/30/2024,121426875.0,2710497.89,44.8,3724116.0,37448.43,99.45,0.92
450369,799019,09/30/2024,20426910.0,497708.42,41.04,1214182.0,16640.25,72.97,0.92
070035,800361,09/30/2024,233235210.0,4663830.68,50.01,36947590.0,383996.95,96.22,0.92
110032,798665,09/30/2024,22367022.0,697630.84,32.06,2376669.0,31625.64,75.15,0.92
450352,800041,09/30/2024,119350856.0,2494085.33,47.83,14802462.0,142019.63,104.23,0.92
450351,830482,09/30/2024,22106585.0,452852.11,48.82,195918.0,2625.5,74.62,0.92
673050,829735,09/30/2024,12696687.0,327215.47,38.8,263456.0,4368.18,60.31,0.92
010007,798630,09/30/2024,11352074.0,430404.53,26.38,11365.0,246.0,46.2,0.92
110029,798664,09/30/2024,558512426.0,11638759.0,42.68,29672861.0,334464.0,88.72,0.92
450080,798874,09/30/2024,56820633.0,1616942.25,35.14,2075423.0,20652.02,100.49,0.92
030148,807716,09/30/2024,37355999.0,887424.0,42.09,2147508.0,26295.0,81.67,0.92
213030,829658,09/30/2024,14795726.0,324715.16,45.57,2376664.0,27241.62,87.24,0.92
220001,799881,09/30/2024,74893342.0,1603972.56,46.69,18789900.0,164060.0,114.53,0.92
220002,795900,09/30/2024,121373806.0,3549161.0,34.2,11440940.0,102887.0,111.2,0.92
450289,799434,09/30/2024,902804092.0,21056573.86,42.59,21910335.0,221391.79,98.97,0.92
220008,798806,09/30/2024,107602686.0,2322112.28,46.4,1826186.0,20076.0,90.96,0.92
673065,829229,09/30/2024,13929775.0,368820.51,37.77,375648.0,4851.74,77.43,0.92
220010,799882,09/30/2024,150477027.0,2957193.0,50.89,16804735.0,176404.0,95.26,0.92
673066,829230,09/30/2024,14883606.0,370802.77,40.14,602273.0,7877.48,76.46,0.92
090008,798655,09/30/2024,46300691.0,1224423.0,37.81,14335692.0,171325.87,83.67,0.92
220012,798441,09/30/2024,235947888.0,3984937.38,61.81,32695436.0,312955.46,104.47,0.92
223029,829098,09/30/2024,20363831.0,468420.24,44.98,2416491.0,28638.78,84.38,0.92
110038,798409,09/30/2024,109539745.0,3109003.0,35.23,11364778.0,157507.0,72.15,0.92
100002,829913,09/30/2024,167936103.0,4029882.0,41.67,6990748.0,70163.0,99.64,0.92
030138,798767,09/30/2024,38626052.0,912550.09,42.33,348416.0,3723.5,93.57,0.92
110041,812546,09/30/2024,23135232.0,550854.0,42.0,117004.0,1729.0,67.67,0.92
100017,831762,09/30/2024,283971744.0,6882682.77,41.22,7921801.0,84032.95,94.27,0.92
070021,799072,09/30/2024,39602345.0,954288.0,41.5,3077563.0,31239.0,98.52,0.92
450475,822235,09/30/2024,12771877.0,358195.73,35.66,594963.0,9551.29,62.29,0.92
443036,828732,09/30/2024,10201237.0,275916.8,36.97,445226.0,5801.47,76.74,0.92
353027,828682,09/30/2024,9551633.0,215982.34,44.22,397071.0,4797.79,82.76,0.92
110075,829584,09/30/2024,59123663.0,1656845.0,35.63,516484.0,6769.0,76.3,0.92
450465,799919,09/30/2024,27372065.0,627532.47,34.17,4383271.0,54155.5,80.94,0.92
070022,827775,09/30/2024,1341169037.0,27629730.0,48.54,88535039.0,948811.0,93.31,0.92
230080,799815,09/30/2024,74331332.0,1472057.83,50.49,811661.0,12001.44,67.63,0.92
070024,799215,09/30/2024,159153323.0,3297516.0,48.26,10362234.0,109560.5,94.58,0.92
450451,799918,09/30/2024,10513889.0,356257.14,48.97,406804.0,9592.0,42.41,0.92
070025,799073,09/30/2024,752096119.0,15939309.0,47.18,61766492.0,908259.0,68.01,0.92
220015,831569,09/30/2024,89674412.0,2055347.0,43.63,9216861.0,90525.0,101.82,0.92
