ccn,lat,lon,health_system,health_system_id,system_confidence
050122,37.954302,-121.32932,Independent / Unknown,independent,0.0
050124,34.185665,-118.239497,Independent / Unknown,independent,0.0
050125,37.350471,-121.852554,Independent / Unknown,independent,0.0
050126,34.202494,-118.448048,Independent / Unknown,independent,0.0
050127,38.694038,-121.852932,Independent / Unknown,independent,0.0
050128,33.199582,-117.298764,Independent / Unknown,independent,0.0
050129,34.178633,-117.238926,Independent / Unknown,independent,0.0
050131,38.122687,-122.553142,Independent / Unknown,independent,0.0
050132,34.088952,-118.094468,Independent / Unknown,independent,0.0
050133,39.223939,-121.49405,Adventist Health,adventist_health,0.85
050135,34.099811,-118.326837,Independent / Unknown,independent,0.0
050136,38.23501,-122.557369,Independent / Unknown,independent,0.0
050137,34.222506,-118.444689,Kaiser Permanente,kaiser_permanente,0.85
050138,34.127603,-118.296381,Kaiser Permanente,kaiser_permanente,0.85
050139,33.921793,-118.140588,Kaiser Permanente,kaiser_permanente,0.85
050140,34.087333,-117.465158,Kaiser Permanente,kaiser_permanente,0.85
050145,36.562305,-121.805507,Independent / Unknown,independent,0.0
050149,34.039309,-118.266255,Independent / Unknown,independent,0.0
050150,39.193267,-120.980122,Independent / Unknown,independent,0.0
050152,37.794485,-122.42227,UCSF Health,ucsf_health,0.85
050158,34.149588,-118.489708,Independent / Unknown,independent,0.0
050159,34.283668,-119.223196,Independent / Unknown,independent,0.0
05015F,38.270937,-121.937017,Independent / Unknown,independent,0.0
050167,37.873793,-121.290146,Independent / Unknown,independent,0.0
050168,33.900573,-117.914667,Providence,providence,0.85
050169,33.974242,-118.02233,Independent / Unknown,independent,0.0
050174,38.438136,-122.669057,Providence,providence,0.85
050179,37.527558,-120.851106,Independent / Unknown,independent,0.0
050180,37.916916,-122.014917,Independent / Unknown,independent,0.0
050191,33.782259,-118.196793,Independent / Unknown,independent,0.0
050192,36.658709,-119.401274,Adventist Health,adventist_health,0.85
050194,36.945781,-121.756058,Independent / Unknown,independent,0.0
050195,37.501368,-121.956753,Independent / Unknown,independent,0.0
050197,37.422531,-122.28582,Independent / Unknown,independent,0.0
050204,34.583523,-118.027343,Independent / Unknown,independent,0.0
05020F,33.411196,-117.433259,Independent / Unknown,independent,0.0
050211,37.774712,-122.278097,Independent / Unknown,independent,0.0
050222,32.607352,-117.05036,Independent / Unknown,independent,0.0
050224,33.625204,-117.928767,Independent / Unknown,independent,0.0
050226,33.844983,-117.952151,Independent / Unknown,independent,0.0
050228,37.750021,-122.415201,San Francisco DPH,san_francisco_dph,0.85
05022F,32.725055,-117.145415,Independent / Unknown,independent,0.0
050230,33.763963,-117.931538,Independent / Unknown,independent,0.0
050231,34.083086,-117.737997,Independent / Unknown,independent,0.0
050232,35.235871,-120.615914,Independent / Unknown,independent,0.0
050234,32.698795,-117.20911,Independent / Unknown,independent,0.0
050235,34.175833,-118.347536,Providence,providence,0.85
050236,34.262388,-118.772219,Adventist Health,adventist_health,0.85
050238,34.128284,-118.047732,Independent / Unknown,independent,0.0
050239,34.160359,-118.213769,Independent / Unknown,independent,0.0
050242,37.032242,-121.984402,Independent / Unknown,independent,0.0
050243,33.862959,-116.556682,Independent / Unknown,independent,0.0
050245,34.025186,-117.288849,Independent / Unknown,independent,0.0
050248,36.722676,-121.633667,Independent / Unknown,independent,0.0
050254,38.733395,-120.791347,Independent / Unknown,independent,0.0
050257,35.547493,-118.946868,Independent / Unknown,independent,0.0
05025F,36.768856,-119.762411,VA,va,0.85
050261,35.980858,-118.889315,Independent / Unknown,independent,0.0
050262,34.071183,-118.443404,UCLA Health,ucla_health,0.85
050272,34.011947,-117.159702,Independent / Unknown,independent,0.0
050276,37.978299,-122.157109,Independent / Unknown,independent,0.0
050278,34.26743797368422,-118.58166184210526,Providence,providence,0.85
050279,34.147976,-116.284218,Independent / Unknown,independent,0.0
05027F,33.778436,-118.118648,Independent / Unknown,independent,0.0
050280,40.577176,-122.454715,Independent / Unknown,independent,0.0
050281,34.090924,-118.127761,Independent / Unknown,independent,0.0
050283,37.792648,-121.862807,Stanford Health,stanford_health,0.85
050289,37.681316,-122.480855,Independent / Unknown,independent,0.0
050290,34.026649,-118.473835,Independent / Unknown,independent,0.0
050291,38.503685,-122.754057,Sutter Health,sutter_health,0.85
050292,33.910996,-117.113765,Independent / Unknown,independent,0.0
050295,35.384336,-119.020562,Independent / Unknown,independent,0.0
050298,34.965648,-117.001509,Independent / Unknown,independent,0.0
050300,34.571231,-117.133092,Providence,providence,0.85
050301,39.136804,-123.261089,Adventist Health,adventist_health,0.85
050305,37.865205,-122.238384,Independent / Unknown,independent,0.0
050308,37.380272,-122.085221,Independent / Unknown,independent,0.0
050309,38.741274,-121.249266,Sutter Health,sutter_health,0.85
05030F,38.549228,-121.278598,Independent / Unknown,independent,0.0
