ccn,name,state,beds,fte,taxable_wage_per_hour,benefit_load_per_hour,loaded_staff_cost_per_hour,contract_labor,contract_labor_intensity,operating_margin,estimated_rn_need_fte,npr,total_costs,hcris_confidence,fy_end
370041,BRISTOW MEDICAL CENTER,OK,25.0,121.14,37.57804066496488,7.869760512312519,48.322521288147215,75200.0,0.007879474221126547,0.8246249320582054,32.7078,204375305.0,35842333.0,0.92,09/07/2023
170166,MORTON COUNTY HEALTH SYSTEM,KS,26.0,38.9,34.72346499901127,3.5324920901720387,40.91230216160768,149834.0,0.050630216677215054,-0.6160807112218634,10.503,4183111.0,6760245.0,0.92,09/21/2023
340142,CARTERET COUNTY GENERAL HOSPITAL COM,NC,99.0,957.31,34.63779667465647,6.594230287110598,43.88181840737829,14144743.0,0.17018138211930864,0.21142843282517987,258.4737,205519605.0,162066917.0,0.92,09/30/2023
301300,UPPER CONNECTICUT VALLEY HOSPITAL,NH,16.0,89.0,50.25873487467588,15.077620462402763,69.18114855499135,,,0.23483779791446477,24.03,34802481.0,26629543.0,0.85,09/30/2023
191318,TRINITY MEDICAL,LA,23.0,148.0,32.34862590956341,9.704587772869022,44.52788356451403,,,-0.016806562712952243,39.96,26474539.0,26919485.0,0.85,09/30/2023
163027,UNIVERSITY OF IOWA HEALTH NETWORK RE,IA,40.0,93.0,39.056405086848635,6.099400330851943,48.1436204068445,1493773.0,0.16507887637360086,0.0907325755838266,25.110000000000003,18853372.0,17142757.0,0.92,09/30/2023
490033,WARREN MEMORIAL HOSPITAL,VA,36.0,315.17,46.032762233324625,10.842286580380307,60.39655512455427,2575041.0,0.07862244314726094,0.11254452576357425,85.09590000000001,106850217.0,94824810.0,0.92,09/30/2023
340129,LAKE NORMAN REGIONAL MEDICAL CENTER,NC,123.0,421.0,36.81571692855838,8.510449022473964,48.14256829606706,4870854.0,0.13125575642189585,0.2761072003831676,113.67,142588259.0,103218614.0,0.92,09/30/2023
281319,JEFFERSON COMMUNITY HEALTH CENTER,NE,17.0,138.0,51.734594481605356,15.520378344481607,71.21266930392979,,,-0.014891495362397327,37.260000000000005,28444222.0,28867799.0,0.85,09/30/2023
231314,MCKENZIE HEALTH SYSTEM,MI,25.0,142.0,49.41394569339111,14.824183708017333,68.01829624695286,,,0.09146162246194167,38.34,26643645.0,24206774.0,0.85,09/30/2023
450419,TX HLTH HARRIS METHODIST AZLE,TX,31.0,197.0,46.73964515814135,10.430515423662632,60.745743436401796,155501.0,0.008053901020420107,0.2759016549732532,53.190000000000005,51365241.0,37193486.0,0.92,09/30/2023
234035,WALTER REUTHER PSYCHIATRIC HOSPITAL,MI,180.0,377.0,34.1304325647827,10.23912976943481,46.98054042542339,,,-0.2637619172500223,101.79,53792087.0,67980391.0,0.85,09/30/2023
340008,SCOTLAND MEMORIAL HOSPITAL,NC,104.0,809.99,46.816429713757145,9.282229386497649,59.68011597335722,10125944.0,0.1137730013376997,0.2309429163870848,218.6973,220481034.0,169562501.0,0.92,09/30/2023
