health_system_id,health_system,n_facilities,monthly_fee_sum,median_target_fee,median_stretch_fee,median_reference_fee,total_term_savings
northern_light_health,Northern Light Health,8,512789.77,1288.87,1288.87,793.15,42765111.83
northfield_hospital_and_clinics,Northfield Hospital and Clinics,1,6157.57,1884.25,2000.0,1304.48,1564031.57
northshore_edward_elmhurst_health,NorthShore  Edward-Elmhurst Health,4,2611006.4299999997,1357.49,1357.49,835.38,288160717.18
northside_hospital,Northside Hospital,5,966449.5599999999,1278.43,1278.43,786.73,51466838.68
northwell_health,Northwell Health,15,394531.27,1673.74,1487.77,1030.0,27879781.259999998
northwestern_medicine,Northwestern Medicine,7,322430.2,1357.49,1357.49,835.38,28660655.98
norton_healthcare,Norton Healthcare,4,420300.49,1123.2849999999999,1123.2849999999999,750.0,44720887.29
novant_health,Novant Health,3,259051.36,1157.6,1157.6,750.0,11592521.19
nuvance_health,Nuvance Health,6,346235.98,1635.78,1338.915,1216.63,9072541.39
nyc_health_hospitals,NYC Health + Hospitals,2,12074.27,1096.71,952.365,819.13,1204885.51
nyu_langone_health,NYU Langone Health,2,252621.49,1580.755,1394.7849999999999,1030.0,9344887.33
oaklawn_hospital,Oaklawn Hospital,1,21466.71,1512.75,1260.63,1163.66,36811.09
ochsner,Ochsner,17,1521437.64,1327.06,1169.53,816.65,123208163.53
ohiohealth,Ohiohealth,13,944136.29,1179.97,1179.97,750.0,60929650.54
oneida_health,Oneida Health,1,9988.76,1689.56,1689.56,1039.73,668901.99
oregon_health_and_science_university,Oregon Health and Science University,1,472077.73,1559.38,1169.53,1079.57,8403323.67
orlando_health,Orlando Health,6,37494.31,1191.91,1191.91,750.0,9726006.85
orohealth_corporation,OroHealth Corporation,1,25942.76,1506.07,1158.52,1158.52,694302.66
osf_healthcare_system,OSF Healthcare System,13,910272.97,1305.28,1305.28,803.25,67861038.63
overlake_medical_center_and_clinics,Overlake Medical Center and Clinics,1,126662.67,1630.98,1334.44,1129.14,3848219.21
owensboro_health,Owensboro Health,3,191424.16,1459.93,1312.74,908.82,69537571.12
ozarks_healthcare,Ozarks Healthcare,1,34372.43,1547.84,1547.84,952.52,4067132.76
palomar_health,Palomar Health,2,79050.41,1556.19,1305.895,1197.07,372581.57000000007
parkland_health_and_hospital_system,Parkland Health and Hospital System,1,456330.6,1348.54,1348.54,829.87,63011156.01
parkland_health_texas,Parkland Health (Texas),1,17050.7,1136.71,1136.71,750.0,1515947.94
parkview_health_system,Parkview Health System,7,435454.89999999997,1483.99,1200.86,913.23,18955912.95
parkview_medical_center,Parkview Medical Center,1,157194.46,1635.67,1258.21,1258.21,1441016.94
parrish_medical_center,Parrish Medical Center,1,83999.39,1547.84,1125.7,952.52,-4480.17
peacehealth,Peacehealth,6,596705.28,1582.995,1576.775,988.69,93535513.67
pella_regional_health_center,Pella Regional Health Center,1,166793.61,1102.4,1102.4,750.0,16259485.06
penn_highlands_healthcare,Penn Highlands Healthcare,7,653079.7,1267.99,1267.99,780.3,38100903.71
penn_state_health_milton_s_hershey_medical_center,Penn State Health Milton S Hershey Medical Center,5,439742.04,1579.0,1185.44,1094.26,4026351.25
peterson_health,Peterson Health,1,63580.24,1601.54,1601.54,985.56,4037461.09
phoebe_putney_health_systems,Phoebe Putney Health Systems,2,44364.53,1226.815,1104.675,754.9649999999999,3967719.62
piedmont_healthcare,Piedmont Healthcare,10,980536.21,1278.43,1022.74,786.73,3584881.96
pih_health,PIH Health,3,104614.09,1595.58,1227.37,1227.37,807891.21
pikeville_medical_center,Pikeville Medical Center,1,161922.2,1606.58,1314.48,1112.25,-773030.48
pipeline_health,Pipeline Health,7,509398.69,1595.58,1357.49,1227.37,36210380.92
premier_health,Premier Health,2,806054.45,1395.53,1395.53,877.145,30202724.63
presbyterian_healthcare_services,Presbyterian Healthcare Services,6,558285.96,1470.455,1302.815,968.95,18273264.32
prime_healthcare,Prime Healthcare,36,1685221.08,1411.2,1219.205,868.43,70319777.89
prisma_health,Prisma Health,11,998664.75,1518.96,1224.21,1036.97,6179036.85
prohealth_care,Prohealth Care,2,161018.07,1273.95,1273.95,783.97,10143240.620000001
promedica,ProMedica,9,2656161.77,1211.3,1200.86,750.0,290129629.78999996
prospect_medical_holdings,Prospect Medical Holdings,7,415228.96,1609.23,1418.65,1114.08,24961405.03
providence,Providence,21,1432209.33,1606.61,1397.17,1011.64,203779111.65
public_hospital_district_1a_of_whitman_county,Public Hospital District 1A of Whitman County,1,203732.62,1546.94,1546.94,951.97,40868686.47
quorum_health,Quorum Health,25,929768.63,1314.23,1275.45,808.76,103482547.12
redington_fairview_general_hospital,Redington Fairview General Hospital,1,240503.52,1288.87,1288.87,793.15,25631352.12
redlands_community_hospital,Redlands Community Hospital,1,43083.88,1646.89,1482.2,1140.16,1742748.32
regional_west_health_services,Regional West Health Services,2,70383.36,1297.23,1297.23,820.3199999999999,4267034.93
reid_health,Reid Health,1,92431.18,1592.59,1274.07,980.06,-864600.48
renown_health,Renown Health,2,496111.25,1563.35,1407.0149999999999,962.06,18128484.11
ridgeview_medical_center,Ridgeview Medical Center,3,77518.93,1426.11,1426.11,877.61,6964139.819999999
riverside_health_care_system,Riverside Health Care System,1,28506.09,1673.74,1673.74,1030.0,2664808.55
riverside_health_system,Riverside Health System,4,105907.41999999998,1185.94,1185.94,750.0,12127238.92
riverside_healthcare,Riverside Healthcare,1,57755.73,1537.82,1398.01,1182.93,-245762.7
