ccn,name,state,facility_type,health_system_id,health_system
28C0001029,POPP COSMETIC SURGERY PC,NE,ASC,independent,Independent / Unknown
11C0001090,AUGUSTA PLASTIC SURGERY CENTER INC,GA,ASC,independent,Independent / Unknown
42C0001042,SYNERGY SPINE CENTER,SC,ASC,independent,Independent / Unknown
44C0001064,THE EYE SURGERY CENTER OF EAST TENNESSEE,TN,ASC,independent,Independent / Unknown
15C0001024,BLOOMINGTON SURGERY CENTER,IN,ASC,independent,Independent / Unknown
14C0001086,SOUTHERN ILLINOIS ORTHOPEDIC CENTERLLC,IL,ASC,independent,Independent / Unknown
49C0001021,ROANOKE VALLEY CENTER FOR SIGHT LLC,VA,ASC,independent,Independent / Unknown
10C0001322,THE GABLES SURGICAL CENTER,FL,ASC,independent,Independent / Unknown
39C0001152,THE ENDOSCOPY CENTER LLC,PA,ASC,independent,Independent / Unknown
26C0001072,BLUE RIDGE SURGICAL CENTER LLC,MO,ASC,independent,Independent / Unknown
03C0001240,TUCSON GASTROENTEROLOGY INSTITUTE LLC,AZ,ASC,independent,Independent / Unknown
10C0001415,BAYSIDE AMBULATORY CENTER LLC,FL,ASC,independent,Independent / Unknown
44C0001157,CAPE SURGERY CENTER LLC,TN,ASC,independent,Independent / Unknown
05C0001708,BEVERLY HILLS ENDOSCOPY LLC,CA,ASC,independent,Independent / Unknown
50C0001089,AESTHETIC EYE ASSOCIATES PS,WA,ASC,independent,Independent / Unknown
14C0001130,GAILEY EYE SURGERY DECATUR,IL,ASC,independent,Independent / Unknown
04C0001010,PHYSICIANS DAY SURGERY CENTER,AR,ASC,independent,Independent / Unknown
31C0001153,TOMS RIVER SURGERY CENTER,NJ,ASC,independent,Independent / Unknown
29C0001022,SAHARA OUTPATIENT SURGERY CENTER LTD,NV,ASC,independent,Independent / Unknown
45C0001157,MEDICAL PLAZA AMBULATORY SURGERY CENTER ASSOCIATES LP,TX,ASC,independent,Independent / Unknown
31C0001069,THE SURGICAL CENTER OF SOUTH JERSEY EYE PHYSICIANS,NJ,ASC,independent,Independent / Unknown
03C0001261,ARIZONA EYE INSTITUTE AND COSMETIC LASER CENTER,AZ,ASC,independent,Independent / Unknown
10C0001407,PANAMA CITY SURGERY CENTER,FL,ASC,independent,Independent / Unknown
20C0001005,VISION CARE OF MAINEAROOSTOOK LLC,ME,ASC,independent,Independent / Unknown
